Austin Lucas- Mathematics:D, English Language:B, Science:F, Social Science:A
Leila Carter- Mathematics:D, English Language:D, Science:A, Social Science:D
Anthony Matthews- Mathematics:F, English Language:F, Science:A, Social Science:D
Earl Bass- Mathematics:B, English Language:F, Science:A, Social Science:E
Kevin Huff- Mathematics:F, English Language:F, Science:D, Social Science:C
Charlie Buchanan- Mathematics:E, English Language:D, Science:C, Social Science:D
Bobby Manning- Mathematics:B, English Language:F, Science:F, Social Science:B
Adeline Burgess- Mathematics:B, English Language:E, Science:E, Social Science:C
Bessie Newton- Mathematics:C, English Language:E, Science:E, Social Science:B
Chester Dean- Mathematics:E, English Language:E, Science:C, Social Science:D
Belle King- Mathematics:E, English Language:B, Science:A, Social Science:A
Dora Stokes- Mathematics:F, English Language:F, Science:D, Social Science:E
Manuel Ball- Mathematics:F, English Language:A, Science:E, Social Science:C
John Jimenez- Mathematics:B, English Language:A, Science:F, Social Science:C
Ruby Murphy- Mathematics:D, English Language:B, Science:A, Social Science:F
Vincent Shaw- Mathematics:B, English Language:A, Science:D, Social Science:E
Edna Jennings- Mathematics:F, English Language:D, Science:E, Social Science:B
Dollie Parker- Mathematics:E, English Language:A, Science:F, Social Science:B
Clara Long- Mathematics:B, English Language:C, Science:A, Social Science:B
Ophelia Soto- Mathematics:B, English Language:A, Science:E, Social Science:D
Max Brooks- Mathematics:A, English Language:D, Science:F, Social Science:D
Isaiah Ruiz- Mathematics:A, English Language:B, Science:A, Social Science:C
Charles Harper- Mathematics:D, English Language:D, Science:F, Social Science:E
Lottie Harper- Mathematics:F, English Language:E, Science:C, Social Science:B
Ola Becker- Mathematics:B, English Language:C, Science:E, Social Science:A
Leon Delgado- Mathematics:E, English Language:C, Science:C, Social Science:A
Nathaniel Hines- Mathematics:E, English Language:C, Science:D, Social Science:E
Gerald Lawrence- Mathematics:D, English Language:D, Science:A, Social Science:B
Ray Holland- Mathematics:C, English Language:D, Science:C, Social Science:D
Evan Christensen- Mathematics:A, English Language:F, Science:E, Social Science:E
Stanley Huff- Mathematics:E, English Language:A, Science:C, Social Science:C
Stanley Banks- Mathematics:E, English Language:F, Science:B, Social Science:A
Esther Boone- Mathematics:D, English Language:A, Science:F, Social Science:E
Shane Guzman- Mathematics:F, English Language:F, Science:B, Social Science:C
Lina Santiago- Mathematics:D, English Language:C, Science:D, Social Science:B
Cody Lane- Mathematics:E, English Language:F, Science:F, Social Science:A
Cynthia Austin- Mathematics:A, English Language:F, Science:B, Social Science:B
Susan Duncan- Mathematics:E, English Language:B, Science:A, Social Science:F
Nancy Burns- Mathematics:A, English Language:C, Science:A, Social Science:F
Cordelia Cook- Mathematics:B, English Language:F, Science:F, Social Science:F
Estella Thompson- Mathematics:E, English Language:D, Science:E, Social Science:E
Lucas Barnett- Mathematics:D, English Language:B, Science:F, Social Science:A
Sylvia Douglas- Mathematics:A, English Language:B, Science:C, Social Science:B
Ricky Burton- Mathematics:E, English Language:B, Science:D, Social Science:E
Georgia Delgado- Mathematics:E, English Language:B, Science:D, Social Science:E
Ada Tate- Mathematics:A, English Language:F, Science:B, Social Science:C
Bettie Cooper- Mathematics:B, English Language:A, Science:A, Social Science:E
Bruce Patton- Mathematics:C, English Language:A, Science:C, Social Science:B
Lizzie Moreno- Mathematics:A, English Language:C, Science:D, Social Science:A
Max Kim- Mathematics:E, English Language:D, Science:D, Social Science:D
Garrett Norman- Mathematics:C, English Language:B, Science:F, Social Science:D
Lola Moss- Mathematics:F, English Language:E, Science:E, Social Science:C
Carl Matthews- Mathematics:B, English Language:F, Science:F, Social Science:F
Garrett Aguilar- Mathematics:F, English Language:B, Science:B, Social Science:F
Joe Swanson- Mathematics:C, English Language:D, Science:F, Social Science:C
Troy Pearson- Mathematics:D, English Language:C, Science:D, Social Science:F
Janie Hamilton- Mathematics:B, English Language:F, Science:A, Social Science:A
Sadie Garcia- Mathematics:F, English Language:C, Science:C, Social Science:A
Jeremy Perry- Mathematics:B, English Language:A, Science:D, Social Science:B
Ophelia Hampton- Mathematics:E, English Language:D, Science:B, Social Science:F
Ina Burgess- Mathematics:B, English Language:B, Science:B, Social Science:E
Janie Bishop- Mathematics:B, English Language:A, Science:D, Social Science:D
Jeffrey Hudson- Mathematics:E, English Language:E, Science:A, Social Science:F
Violet Murray- Mathematics:E, English Language:B, Science:A, Social Science:A
Floyd Phillips- Mathematics:B, English Language:D, Science:A, Social Science:D
Isabelle Bradley- Mathematics:E, English Language:A, Science:D, Social Science:B
Ricky Burns- Mathematics:E, English Language:B, Science:C, Social Science:A
James Erickson- Mathematics:B, English Language:D, Science:F, Social Science:F
Rhoda Douglas- Mathematics:A, English Language:F, Science:C, Social Science:F
Brian Blair- Mathematics:F, English Language:E, Science:F, Social Science:C
Rodney Morrison- Mathematics:E, English Language:A, Science:A, Social Science:B
Madge McCarthy- Mathematics:A, English Language:F, Science:F, Social Science:F
